ACCESSION,SOURCE,HOST
VCEH01000138,Wolbachia endosymbiont of Drosophila santomea,Drosophila santomea
VCEH01000171,Wolbachia endosymbiont of Drosophila santomea,Drosophila santomea
VCEH01000202,Wolbachia endosymbiont of Drosophila santomea,Drosophila santomea
VCEH01000205,Wolbachia endosymbiont of Drosophila santomea,Drosophila santomea
VCEH01000242,Wolbachia endosymbiont of Drosophila santomea,Drosophila santomea
VCEH01000297,Wolbachia endosymbiont of Drosophila santomea,Drosophila santomea
NZ_JADCNE010000053,Wolbachia endosymbiont of Rhagoletis cerasi,Rhagoletis cerasi
NZ_JADCNE010000035,Wolbachia endosymbiont of Rhagoletis cerasi,Rhagoletis cerasi
NZ_MNCG01000149,Wolbachia sp. wMel_AMD,Drosophila melanogaster
NZ_MNCG01000140,Wolbachia sp. wMel_AMD,Drosophila melanogaster
NZ_MNCG01000096,Wolbachia sp. wMel_AMD,Drosophila melanogaster
NZ_MNCG01000095,Wolbachia sp. wMel_AMD,Drosophila melanogaster
NZ_MNCG01000071,Wolbachia sp. wMel_AMD,Drosophila melanogaster
NZ_MNCG01000017,Wolbachia sp. wMel_AMD,Drosophila melanogaster
NZ_JADCND010000037,Wolbachia endosymbiont of Ceratitis capitata,Ceratitis capitata line Ccap10.3
NZ_JAGKTH010000068,Wolbachia endosymbiont of Drosophila auraria,Drosophila auraria
NZ_JAGKTH010000053,Wolbachia endosymbiont of Drosophila auraria,Drosophila auraria
NZ_JACSNJ010000008,Wolbachia endosymbiont of Drosophila sechellia,Drosophila sechellia
NZ_WQMP01000192,Wolbachia endosymbiont of Madathamugadia hiepei,Madathamugadia hiepei
NZ_WQMP01000191,Wolbachia endosymbiont of Madathamugadia hiepei,Madathamugadia hiepei
NZ_WQMP01000190,Wolbachia endosymbiont of Madathamugadia hiepei,Madathamugadia hiepei
NZ_WQMP01000188,Wolbachia endosymbiont of Madathamugadia hiepei,Madathamugadia hiepei
NZ_WQMP01000187,Wolbachia endosymbiont of Madathamugadia hiepei,Madathamugadia hiepei
NZ_WQMP01000186,Wolbachia endosymbiont of Madathamugadia hiepei,Madathamugadia hiepei
NZ_WQMP01000185,Wolbachia endosymbiont of Madathamugadia hiepei,Madathamugadia hiepei
NZ_WQMP01000184,Wolbachia endosymbiont of Madathamugadia hiepei,Madathamugadia hiepei
NZ_JAAXCS010000197,Wolbachia endosymbiont of Atemnus politus,Atemnus politus
NZ_JAAXCS010000194,Wolbachia endosymbiont of Atemnus politus,Atemnus politus
NZ_JAAXCS010000193,Wolbachia endosymbiont of Atemnus politus,Atemnus politus
NZ_JAAXCS010000192,Wolbachia endosymbiont of Atemnus politus,Atemnus politus
NZ_JAAXCS010000191,Wolbachia endosymbiont of Atemnus politus,Atemnus politus
NZ_JAAXCS010000190,Wolbachia endosymbiont of Atemnus politus,Atemnus politus
NZ_NJBR02000094,Wolbachia endosymbiont of Wuchereria bancrofti,Wuchereria bancrofti
NZ_NJBR02000043,Wolbachia endosymbiont of Wuchereria bancrofti,Wuchereria bancrofti
NZ_NJBR02000017,Wolbachia endosymbiont of Wuchereria bancrofti,Wuchereria bancrofti
NZ_LYUV01000126,Wolbachia endosymbiont of Nomada leucophthalma,Nomada leucophthalma
NZ_LYUV01000125,Wolbachia endosymbiont of Nomada leucophthalma,Nomada leucophthalma
NZ_LYUW01000122,Wolbachia endosymbiont of Nomada flava,Nomada flava
NZ_LYUW01000120,Wolbachia endosymbiont of Nomada flava,Nomada flava
NZ_LYUW01000118,Wolbachia endosymbiont of Nomada flava,Nomada flava
NZ_LYUX01000133,Wolbachia endosymbiont of Nomada panzeri,Nomada panzeri
NZ_LYUX01000132,Wolbachia endosymbiont of Nomada panzeri,Nomada panzeri
NZ_LYUX01000131,Wolbachia endosymbiont of Nomada panzeri,Nomada panzeri
NZ_CAOU02000063,Wolbachia endosymbiont str. valsugana of Drosophila suzukii,Drosophila suzukii strain DS-VAL-F5
NZ_CAOU02000062,Wolbachia endosymbiont str. valsugana of Drosophila suzukii,Drosophila suzukii strain DS-VAL-F5
NZ_CAOU02000061,Wolbachia endosymbiont str. valsugana of Drosophila suzukii,Drosophila suzukii strain DS-VAL-F5
NZ_CAOU02000060,Wolbachia endosymbiont str. valsugana of Drosophila suzukii,Drosophila suzukii strain DS-VAL-F5
NZ_CAOU02000059,Wolbachia endosymbiont str. valsugana of Drosophila suzukii,Drosophila suzukii strain DS-VAL-F5
NZ_CAOU02000058,Wolbachia endosymbiont str. valsugana of Drosophila suzukii,Drosophila suzukii strain DS-VAL-F5
NZ_CAOU02000057,Wolbachia endosymbiont str. valsugana of Drosophila suzukii,Drosophila suzukii strain DS-VAL-F5
NZ_CAOU02000056,Wolbachia endosymbiont str. valsugana of Drosophila suzukii,Drosophila suzukii strain DS-VAL-F5
NZ_CAOU02000055,Wolbachia endosymbiont str. valsugana of Drosophila suzukii,Drosophila suzukii strain DS-VAL-F5
NZ_CAOU02000054,Wolbachia endosymbiont str. valsugana of Drosophila suzukii,Drosophila suzukii strain DS-VAL-F5
NZ_CAOU02000053,Wolbachia endosymbiont str. valsugana of Drosophila suzukii,Drosophila suzukii strain DS-VAL-F5
NZ_CAOU02000052,Wolbachia endosymbiont str. valsugana of Drosophila suzukii,Drosophila suzukii strain DS-VAL-F5
NZ_CAOU02000051,Wolbachia endosymbiont str. valsugana of Drosophila suzukii,Drosophila suzukii strain DS-VAL-F5
NZ_CAOU02000050,Wolbachia endosymbiont str. valsugana of Drosophila suzukii,Drosophila suzukii strain DS-VAL-F5
NZ_CAOU02000049,Wolbachia endosymbiont str. valsugana of Drosophila suzukii,Drosophila suzukii strain DS-VAL-F5
NZ_CAOU02000048,Wolbachia endosymbiont str. valsugana of Drosophila suzukii,Drosophila suzukii strain DS-VAL-F5
NZ_CAOU02000047,Wolbachia endosymbiont str. valsugana of Drosophila suzukii,Drosophila suzukii strain DS-VAL-F5
NZ_CAOU02000046,Wolbachia endosymbiont str. valsugana of Drosophila suzukii,Drosophila suzukii strain DS-VAL-F5
NZ_CAOU02000045,Wolbachia endosymbiont str. valsugana of Drosophila suzukii,Drosophila suzukii strain DS-VAL-F5
NZ_JAPQLE010000199,Wolbachia endosymbiont of Drosophila baimaii,Drosophila baimaii
NZ_JAPQLE010000186,Wolbachia endosymbiont of Drosophila baimaii,Drosophila baimaii
NZ_JAPQLE010000141,Wolbachia endosymbiont of Drosophila baimaii,Drosophila baimaii
NZ_JAPQLE010000061,Wolbachia endosymbiont of Drosophila baimaii,Drosophila baimaii
NZ_JAPQLM010000178,Wolbachia endosymbiont of Drosophila seguyi,Drosophila seguyi
NZ_JAPQLM010000125,Wolbachia endosymbiont of Drosophila seguyi,Drosophila seguyi
NZ_JAPQLM010000122,Wolbachia endosymbiont of Drosophila seguyi,Drosophila seguyi
NZ_JAPQLM010000091,Wolbachia endosymbiont of Drosophila seguyi,Drosophila seguyi
NZ_JAPQLM010000073,Wolbachia endosymbiont of Drosophila seguyi,Drosophila seguyi
NZ_JAPQLM010000018,Wolbachia endosymbiont of Drosophila seguyi,Drosophila seguyi
NZ_JAPQLM010000004,Wolbachia endosymbiont of Drosophila seguyi,Drosophila seguyi
NZ_JAPQLK010000117,Wolbachia endosymbiont of Drosophila leontia,Drosophila leontia
NZ_JAPQLK010000090,Wolbachia endosymbiont of Drosophila leontia,Drosophila leontia
NZ_JAPQLK010000076,Wolbachia endosymbiont of Drosophila leontia,Drosophila leontia
NZ_JAPQLK010000058,Wolbachia endosymbiont of Drosophila leontia,Drosophila leontia
NZ_JAPQLG010000223,Wolbachia endosymbiont of Drosophila bocki,Drosophila bocki
NZ_JAPQLG010000171,Wolbachia endosymbiont of Drosophila bocki,Drosophila bocki
NZ_JAPQLG010000132,Wolbachia endosymbiont of Drosophila bocki,Drosophila bocki
NZ_JAPQLG010000124,Wolbachia endosymbiont of Drosophila bocki,Drosophila bocki
NZ_JAPQLG010000099,Wolbachia endosymbiont of Drosophila bocki,Drosophila bocki
NZ_JAPQLG010000046,Wolbachia endosymbiont of Drosophila bocki,Drosophila bocki
NZ_JAPQLG010000013,Wolbachia endosymbiont of Drosophila bocki,Drosophila bocki
NZ_JAPQLH010000042,Wolbachia endosymbiont of Drosophila burlai,Drosophila burlai
NZ_JAPQLH010000013,Wolbachia endosymbiont of Drosophila burlai,Drosophila burlai
NZ_QPIP01000229,Wolbachia endosymbiont of Cylisticus convexus,Cylisticus convexus
NZ_QPIP01000214,Wolbachia endosymbiont of Cylisticus convexus,Cylisticus convexus
NZ_QPIP01000213,Wolbachia endosymbiont of Cylisticus convexus,Cylisticus convexus
NZ_AWUH01000194,Wolbachia endosymbiont of Glossina morsitans morsitans,Glossina morsitans morsitans
NZ_AWUH01000175,Wolbachia endosymbiont of Glossina morsitans morsitans,Glossina morsitans morsitans
NZ_AWUH01000162,Wolbachia endosymbiont of Glossina morsitans morsitans,Glossina morsitans morsitans
NZ_AWUH01000161,Wolbachia endosymbiont of Glossina morsitans morsitans,Glossina morsitans morsitans
NZ_AWUH01000139,Wolbachia endosymbiont of Glossina morsitans morsitans,Glossina morsitans morsitans
NZ_AWUH01000114,Wolbachia endosymbiont of Glossina morsitans morsitans,Glossina morsitans morsitans
NZ_AWUH01000065,Wolbachia endosymbiont of Glossina morsitans morsitans,Glossina morsitans morsitans
NZ_AWUH01000063,Wolbachia endosymbiont of Glossina morsitans morsitans,Glossina morsitans morsitans
NZ_AWUH01000050,Wolbachia endosymbiont of Glossina morsitans morsitans,Glossina morsitans morsitans
NZ_AWUH01000046,Wolbachia endosymbiont of Glossina morsitans morsitans,Glossina morsitans morsitans
NZ_AWUH01000011,Wolbachia endosymbiont of Glossina morsitans morsitans,Glossina morsitans morsitans
NZ_KI440872,Wolbachia pipientis wMelPop,Drosophila melanogaster
NZ_JAWHTO010000200,Wolbachia endosymbiont of Drosophila bocqueti,Drosophila bocqueti
NZ_JAWHTO010000164,Wolbachia endosymbiont of Drosophila bocqueti,Drosophila bocqueti
NZ_JAWHTO010000129,Wolbachia endosymbiont of Drosophila bocqueti,Drosophila bocqueti
NZ_JAWHTO010000064,Wolbachia endosymbiont of Drosophila bocqueti,Drosophila bocqueti
NZ_JAWHTO010000054,Wolbachia endosymbiont of Drosophila bocqueti,Drosophila bocqueti
NZ_JAWHTL010000178,Wolbachia endosymbiont of Drosophila seguyi,Drosophila seguyi
NZ_JAWHTL010000133,Wolbachia endosymbiont of Drosophila seguyi,Drosophila seguyi
NZ_JAWHTL010000122,Wolbachia endosymbiont of Drosophila seguyi,Drosophila seguyi
NZ_JAWHTL010000109,Wolbachia endosymbiont of Drosophila seguyi,Drosophila seguyi
NZ_JAWHTL010000053,Wolbachia endosymbiont of Drosophila seguyi,Drosophila seguyi
NZ_JAWHTL010000010,Wolbachia endosymbiont of Drosophila seguyi,Drosophila seguyi
NZ_MRWX01000093,Wolbachia pipientis wAus,Plutella australiana
NZ_MRWX01000092,Wolbachia pipientis wAus,Plutella australiana
NZ_JAGKTG010000017,Wolbachia endosymbiont of Drosophila melanogaster,Drosophila melanogaster
NZ_MUJM01000140,Wolbachia pipientis wVitA,Nasonia vitripennis
NZ_MUJM01000079,Wolbachia pipientis wVitA,Nasonia vitripennis
NZ_JACSNK010000086,Wolbachia endosymbiont of Drosophila melanogaster,Drosophila melanogaster
NZ_WQMQ01000314,Wolbachia endosymbiont of Atemnus politus,Atemnus politus
NZ_WQMQ01000312,Wolbachia endosymbiont of Atemnus politus,Atemnus politus
NZ_WQMQ01000311,Wolbachia endosymbiont of Atemnus politus,Atemnus politus
NZ_WQMQ01000309,Wolbachia endosymbiont of Atemnus politus,Atemnus politus
NZ_WQMQ01000308,Wolbachia endosymbiont of Atemnus politus,Atemnus politus
NZ_WQMQ01000306,Wolbachia endosymbiont of Atemnus politus,Atemnus politus
NZ_WQMQ01000305,Wolbachia endosymbiont of Atemnus politus,Atemnus politus
NZ_WQMQ01000304,Wolbachia endosymbiont of Atemnus politus,Atemnus politus
NZ_WQMQ01000303,Wolbachia endosymbiont of Atemnus politus,Atemnus politus
NZ_WQMQ01000301,Wolbachia endosymbiont of Atemnus politus,Atemnus politus
NZ_WQMQ01000300,Wolbachia endosymbiont of Atemnus politus,Atemnus politus
NZ_WQMQ01000299,Wolbachia endosymbiont of Atemnus politus,Atemnus politus
NZ_WQMQ01000298,Wolbachia endosymbiont of Atemnus politus,Atemnus politus
NZ_WQMQ01000297,Wolbachia endosymbiont of Atemnus politus,Atemnus politus
NZ_WQMQ01000295,Wolbachia endosymbiont of Atemnus politus,Atemnus politus
NZ_WQMQ01000294,Wolbachia endosymbiont of Atemnus politus,Atemnus politus
NZ_WQMQ01000293,Wolbachia endosymbiont of Atemnus politus,Atemnus politus
NZ_WQMQ01000292,Wolbachia endosymbiont of Atemnus politus,Atemnus politus
NZ_WQMQ01000291,Wolbachia endosymbiont of Atemnus politus,Atemnus politus
NZ_WQMQ01000290,Wolbachia endosymbiont of Atemnus politus,Atemnus politus
NZ_WQMQ01000289,Wolbachia endosymbiont of Atemnus politus,Atemnus politus
NZ_WQMQ01000288,Wolbachia endosymbiont of Atemnus politus,Atemnus politus
NZ_WQMQ01000286,Wolbachia endosymbiont of Atemnus politus,Atemnus politus
NZ_WQMQ01000283,Wolbachia endosymbiont of Atemnus politus,Atemnus politus
NZ_NSDS01000025,Wolbachia endosymbiont of Drosophila ananassae,Drosophila ananassae 14024-0371.13
NZ_NSDT01000122,Wolbachia endosymbiont of Drosophila ananassae,Drosophila ananassae 14024-0371.34
NZ_NSDT01000112,Wolbachia endosymbiont of Drosophila ananassae,Drosophila ananassae 14024-0371.34
NZ_NSDT01000098,Wolbachia endosymbiont of Drosophila ananassae,Drosophila ananassae 14024-0371.34
NZ_NSDT01000051,Wolbachia endosymbiont of Drosophila ananassae,Drosophila ananassae 14024-0371.34
NZ_NSDR01000106,Wolbachia endosymbiont of Drosophila ananassae,Drosophila ananassae 14024-0371.31
NZ_NSDR01000079,Wolbachia endosymbiont of Drosophila ananassae,Drosophila ananassae 14024-0371.31
NZ_NSDR01000015,Wolbachia endosymbiont of Drosophila ananassae,Drosophila ananassae 14024-0371.31
NZ_MLZJ01000149,Wolbachia sp. wMel_KL,Drosophila melanogaster
NZ_MLZJ01000140,Wolbachia sp. wMel_KL,Drosophila melanogaster
NZ_MLZJ01000108,Wolbachia sp. wMel_KL,Drosophila melanogaster
NZ_MLZJ01000095,Wolbachia sp. wMel_KL,Drosophila melanogaster
NZ_MLZJ01000074,Wolbachia sp. wMel_KL,Drosophila melanogaster
NZ_MLZJ01000072,Wolbachia sp. wMel_KL,Drosophila melanogaster
NZ_MLZJ01000018,Wolbachia sp. wMel_KL,Drosophila melanogaster
NZ_MKIF01000198,Wolbachia sp. wRi,Drosophila ananassae
NZ_MKIF01000180,Wolbachia sp. wRi,Drosophila ananassae
NZ_MKIF01000174,Wolbachia sp. wRi,Drosophila ananassae
NZ_MKIF01000173,Wolbachia sp. wRi,Drosophila ananassae
NZ_MKIF01000080,Wolbachia sp. wRi,Drosophila ananassae
NZ_MKIF01000079,Wolbachia sp. wRi,Drosophila ananassae
NZ_MKIF01000021,Wolbachia sp. wRi,Drosophila ananassae
NZ_MKIF01000013,Wolbachia sp. wRi,Drosophila ananassae
NZ_LYUY01000156,Wolbachia endosymbiont of Nomada ferruginata,Nomada ferruginata
NZ_LYUY01000155,Wolbachia endosymbiont of Nomada ferruginata,Nomada ferruginata
NZ_LYUY01000154,Wolbachia endosymbiont of Nomada ferruginata,Nomada ferruginata
NZ_ACFP01000241,Wolbachia endosymbiont of Muscidifurax uniraptor,Muscidifurax uniraptor
NZ_ACFP01000235,Wolbachia endosymbiont of Muscidifurax uniraptor,Muscidifurax uniraptor
NZ_ACFP01000149,Wolbachia endosymbiont of Muscidifurax uniraptor,Muscidifurax uniraptor
NZ_ACFP01000103,Wolbachia endosymbiont of Muscidifurax uniraptor,Muscidifurax uniraptor
NZ_ACFP01000090,Wolbachia endosymbiont of Muscidifurax uniraptor,Muscidifurax uniraptor
NZ_ACFP01000085,Wolbachia endosymbiont of Muscidifurax uniraptor,Muscidifurax uniraptor
NZ_ACFP01000060,Wolbachia endosymbiont of Muscidifurax uniraptor,Muscidifurax uniraptor
NZ_ACFP01000055,Wolbachia endosymbiont of Muscidifurax uniraptor,Muscidifurax uniraptor
LSYY01000004,Wolbachia endosymbiont of Dactylopius coccus (insect metagenome),Dactylopius coccus
LSYY01000016,Wolbachia endosymbiont of Dactylopius coccus (insect metagenome),Dactylopius coccus
LSYY01000053,Wolbachia endosymbiont of Dactylopius coccus (insect metagenome),Dactylopius coccus
LSYY01000075,Wolbachia endosymbiont of Dactylopius coccus (insect metagenome),Dactylopius coccus
LSYY01000085,Wolbachia endosymbiont of Dactylopius coccus (insect metagenome),Dactylopius coccus
LSYY01000094,Wolbachia endosymbiont of Dactylopius coccus (insect metagenome),Dactylopius coccus
LSYY01000148,Wolbachia endosymbiont of Dactylopius coccus (insect metagenome),Dactylopius coccus
LSYY01000185,Wolbachia endosymbiont of Dactylopius coccus (insect metagenome),Dactylopius coccus
LSYX01000024,Wolbachia endosymbiont of Dactylopius coccus (insect metagenome),Dactylopius coccus
NWVJ02000017,Wolbachia pipientis,Aedes albopictus
NWVJ02000019,Wolbachia pipientis,Aedes albopictus
NWVJ02000069,Wolbachia pipientis,Aedes albopictus
NWVJ02000084,Wolbachia pipientis,Aedes albopictus
NWVJ02000111,Wolbachia pipientis,Aedes albopictus
NWVJ02000112,Wolbachia pipientis,Aedes albopictus
NWVJ02000139,Wolbachia pipientis,Aedes albopictus
NWVJ02000146,Wolbachia pipientis,Aedes albopictus
NWVJ02000153,Wolbachia pipientis,Aedes albopictus
NWVJ02000174,Wolbachia pipientis,Aedes albopictus
NWVJ02000180,Wolbachia pipientis,Aedes albopictus
NWVJ02000200,Wolbachia pipientis,Aedes albopictus
NWVJ02000202,Wolbachia pipientis,Aedes albopictus
NWVJ02000277,Wolbachia pipientis,Aedes albopictus
NWVJ02000286,Wolbachia pipientis,Aedes albopictus
NWVJ02000288,Wolbachia pipientis,Aedes albopictus
NWVJ02000298,Wolbachia pipientis,Aedes albopictus
NWVJ02000333,Wolbachia pipientis,Aedes albopictus
NWVJ02000338,Wolbachia pipientis,Aedes albopictus
NWVJ02000353,Wolbachia pipientis,Aedes albopictus
NWVK02000021,Wolbachia pipientis,Aedes albopictus
NWVK02000062,Wolbachia pipientis,Aedes albopictus
NWVK02000074,Wolbachia pipientis,Aedes albopictus
NWVK02000104,Wolbachia pipientis,Aedes albopictus
NWVK02000111,Wolbachia pipientis,Aedes albopictus
NWVK02000136,Wolbachia pipientis,Aedes albopictus
NWVK02000140,Wolbachia pipientis,Aedes albopictus
NWVK02000146,Wolbachia pipientis,Aedes albopictus
NWVK02000156,Wolbachia pipientis,Aedes albopictus
NWVK02000171,Wolbachia pipientis,Aedes albopictus
NWVK02000188,Wolbachia pipientis,Aedes albopictus
NWVK02000197,Wolbachia pipientis,Aedes albopictus
NWVK02000246,Wolbachia pipientis,Aedes albopictus
NWVK02000251,Wolbachia pipientis,Aedes albopictus
NWVK02000254,Wolbachia pipientis,Aedes albopictus
NWVK02000264,Wolbachia pipientis,Aedes albopictus
NWVK02000265,Wolbachia pipientis,Aedes albopictus
NWVK02000282,Wolbachia pipientis,Aedes albopictus
MKIF01000013,Wolbachia sp. wRi,Drosophila ananassae
MKIF01000021,Wolbachia sp. wRi,Drosophila ananassae
MKIF01000079,Wolbachia sp. wRi,Drosophila ananassae
MKIF01000080,Wolbachia sp. wRi,Drosophila ananassae
MKIF01000119,Wolbachia sp. wRi,Drosophila ananassae
MKIF01000173,Wolbachia sp. wRi,Drosophila ananassae
MKIF01000174,Wolbachia sp. wRi,Drosophila ananassae
MKIF01000178,Wolbachia sp. wRi,Drosophila ananassae
MKIF01000180,Wolbachia sp. wRi,Drosophila ananassae
MKIF01000198,Wolbachia sp. wRi,Drosophila ananassae
MSYL01000005,Wolbachia sp. wRi_2,Drosophila ananassae
MSYL01000013,Wolbachia sp. wRi_2,Drosophila ananassae
MSYL01000015,Wolbachia sp. wRi_2,Drosophila ananassae
MSYL01000027,Wolbachia sp. wRi_2,Drosophila ananassae
MSYL01000033,Wolbachia sp. wRi_2,Drosophila ananassae
MSYL01000040,Wolbachia sp. wRi_2,Drosophila ananassae
MSYL01000047,Wolbachia sp. wRi_2,Drosophila ananassae
MSYL01000051,Wolbachia sp. wRi_2,Drosophila ananassae
MSYL01000084,Wolbachia sp. wRi_2,Drosophila ananassae
MSYL01000085,Wolbachia sp. wRi_2,Drosophila ananassae
MSYL01000109,Wolbachia sp. wRi_2,Drosophila ananassae
MSYL01000163,Wolbachia sp. wRi_2,Drosophila ananassae
MSYL01000165,Wolbachia sp. wRi_2,Drosophila ananassae
MSYL01000180,Wolbachia sp. wRi_2,Drosophila ananassae
MSYL01000181,Wolbachia sp. wRi_2,Drosophila ananassae
MSYL01000182,Wolbachia sp. wRi_2,Drosophila ananassae
MSYL01000185,Wolbachia sp. wRi_2,Drosophila ananassae
MSYL01000195,Wolbachia sp. wRi_2,Drosophila ananassae
MSYL01000239,Wolbachia sp. wRi_2,Drosophila ananassae
MSYL01000240,Wolbachia sp. wRi_2,Drosophila ananassae
MSYL01000246,Wolbachia sp. wRi_2,Drosophila ananassae
MSYL01000247,Wolbachia sp. wRi_2,Drosophila ananassae
MSYL01000257,Wolbachia sp. wRi_2,Drosophila ananassae
MSYL01000258,Wolbachia sp. wRi_2,Drosophila ananassae
MSYL01000264,Wolbachia sp. wRi_2,Drosophila ananassae
MSYL01000289,Wolbachia sp. wRi_2,Drosophila ananassae
MLZJ01000018,Wolbachia sp. wMel_KL,Drosophila melanogaster
MLZJ01000072,Wolbachia sp. wMel_KL,Drosophila melanogaster
MLZJ01000074,Wolbachia sp. wMel_KL,Drosophila melanogaster
MLZJ01000095,Wolbachia sp. wMel_KL,Drosophila melanogaster
MLZJ01000108,Wolbachia sp. wMel_KL,Drosophila melanogaster
MLZJ01000140,Wolbachia sp. wMel_KL,Drosophila melanogaster
MLZJ01000149,Wolbachia sp. wMel_KL,Drosophila melanogaster
MNCG01000017,Wolbachia sp. wMel_AMD,Drosophila melanogaster
MNCG01000071,Wolbachia sp. wMel_AMD,Drosophila melanogaster
MNCG01000095,Wolbachia sp. wMel_AMD,Drosophila melanogaster
MNCG01000096,Wolbachia sp. wMel_AMD,Drosophila melanogaster
MNCG01000108,Wolbachia sp. wMel_AMD,Drosophila melanogaster
MNCG01000140,Wolbachia sp. wMel_AMD,Drosophila melanogaster
MNCG01000149,Wolbachia sp. wMel_AMD,Drosophila melanogaster
MRWX01000092,Wolbachia pipientis wAus,Plutella australiana
MRWX01000093,Wolbachia pipientis wAus,Plutella australiana
MRWX01000094,Wolbachia pipientis wAus,Plutella australiana
NZ_LRUH01000098,Wolbachia endosymbiont of Laodelphax striatellus,Laodelphax striatellus
NZ_LRUH01000069,Wolbachia endosymbiont of Laodelphax striatellus,Laodelphax striatellus
NZ_LRUH01000058,Wolbachia endosymbiont of Laodelphax striatellus,Laodelphax striatellus
NZ_JYPC01000096,Wolbachia endosymbiont of Operophtera brumata,Operophtera brumata
NZ_JYPC01000094,Wolbachia endosymbiont of Operophtera brumata,Operophtera brumata
NZ_JAPJVH010000099,Wolbachia endosymbiont of Drosophila pseudotakahashii,Drosophila pseudotakahashii
NZ_JAPJVH010000098,Wolbachia endosymbiont of Drosophila pseudotakahashii,Drosophila pseudotakahashii
NZ_JAPJVH010000097,Wolbachia endosymbiont of Drosophila pseudotakahashii,Drosophila pseudotakahashii
NZ_JAPJVH010000096,Wolbachia endosymbiont of Drosophila pseudotakahashii,Drosophila pseudotakahashii
NZ_JAPJVH010000095,Wolbachia endosymbiont of Drosophila pseudotakahashii,Drosophila pseudotakahashii
NZ_JACVWV010000161,Wolbachia endosymbiont of Pentalonia nigronervosa,Pentalonia nigronervosa
NZ_JACVWV010000160,Wolbachia endosymbiont of Pentalonia nigronervosa,Pentalonia nigronervosa
NZ_JACVWV010000159,Wolbachia endosymbiont of Pentalonia nigronervosa,Pentalonia nigronervosa
NZ_JACVWV010000158,Wolbachia endosymbiont of Pentalonia nigronervosa,Pentalonia nigronervosa
NZ_JACVWV010000157,Wolbachia endosymbiont of Pentalonia nigronervosa,Pentalonia nigronervosa
NZ_JACVWV010000156,Wolbachia endosymbiont of Pentalonia nigronervosa,Pentalonia nigronervosa
NZ_JACVWV010000155,Wolbachia endosymbiont of Pentalonia nigronervosa,Pentalonia nigronervosa
NZ_JACVWV010000154,Wolbachia endosymbiont of Pentalonia nigronervosa,Pentalonia nigronervosa
NZ_JACVWV010000153,Wolbachia endosymbiont of Pentalonia nigronervosa,Pentalonia nigronervosa
NZ_JACVWV010000152,Wolbachia endosymbiont of Pentalonia nigronervosa,Pentalonia nigronervosa
NZ_JACVWV010000151,Wolbachia endosymbiont of Pentalonia nigronervosa,Pentalonia nigronervosa
NZ_JACVWV010000150,Wolbachia endosymbiont of Pentalonia nigronervosa,Pentalonia nigronervosa
NZ_JACVWV010000149,Wolbachia endosymbiont of Pentalonia nigronervosa,Pentalonia nigronervosa
LC634015,unidentified bacterial endosymbiont,Leptotrombidium scutellare and L. deliense
LC634014,unidentified bacterial endosymbiont,Leptotrombidium scutellare
LRUH01000058,Wolbachia endosymbiont of Laodelphax striatellus,Laodelphax striatella
LRUH01000069,Wolbachia endosymbiont of Laodelphax striatellus,Laodelphax striatella
LRUH01000098,Wolbachia endosymbiont of Laodelphax striatellus,Laodelphax striatella
AB475140,Cimex lectularius endosymbiont,Cimex lectularius
AB475139,Cimex lectularius endosymbiont,Cimex lectularius
AB475138,Cimex lectularius endosymbiont,Cimex lectularius
AB475137,Cimex lectularius endosymbiont,Cimex lectularius
AF088187,Wolbachia endosymbiont of Dirofilaria immitis,Dirofilaria immitis
D84559,Coxiella sp. (in: g-proteobacteria),Rhipicephalus sanguineus
D84558,Rickettsia sp.,Ixodes scapularis
AB001519,Haemaphysalis longicornis symbiont A,Haemaphysalis longicornis
AB001522,Ornithodoros moubata symbiote B,Ornithodoros moubata
OM489214,Candidatus Yamatotia cicadellidicola,Yamatotettix flavovittatus Matsumura
OM489212,Candidatus Karelsulcia muelleri,Yamatotettix flavovittatus Matsumura
OM489209,Candidatus Yamatotia cicadellidicola,Yamatotettix flavovittatus Matsumura
OM489208,Candidatus Karelsulcia muelleri,Yamatotettix flavovittatus Matsumura
OM489207,Candidatus Karelsulcia muelleri,Yamatotettix flavovittatus Matsumura
OM489205,Candidatus Karelsulcia muelleri,Yamatotettix flavovittatus Matsumura
OM489204,Candidatus Karelsulcia muelleri,Yamatotettix flavovittatus Matsumura
OM489203,Candidatus Karelsulcia muelleri,Yamatotettix flavovittatus Matsumura
OM489202,Candidatus Karelsulcia muelleri,Yamatotettix flavovittatus Matsumura
OM489201,Candidatus Karelsulcia muelleri,Yamatotettix flavovittatus Matsumura
OM489198,Candidatus Karelsulcia muelleri,Yamatotettix flavovittatus Matsumura
OM489197,Candidatus Karelsulcia muelleri,Yamatotettix flavovittatus Matsumura
OM489196,Candidatus Karelsulcia muelleri,Yamatotettix flavovittatus Matsumura
OM489195,Candidatus Yamatotia cicadellidicola,Yamatotettix flavovittatus Matsumura
OM489191,Candidatus Karelsulcia muelleri,Yamatotettix flavovittatus Matsumura
OM489189,Candidatus Karelsulcia muelleri,Yamatotettix flavovittatus Matsumura
OM489188,Candidatus Karelsulcia muelleri,Yamatotettix flavovittatus Matsumura
OM489186,Candidatus Karelsulcia muelleri,Yamatotettix flavovittatus Matsumura
OM489185,Candidatus Karelsulcia muelleri,Yamatotettix flavovittatus Matsumura
OM489184,Candidatus Karelsulcia muelleri,Yamatotettix flavovittatus Matsumura
